如何清空实时目的地	如何取消实时目的地设置
乘客人数一人以上，怎么收费	滴滴打车如何计费
佛山夜间服务费有多少钱	夜间接单有补助吗
拼车算实时订单吗	什么是实时订单
并无差评为何降星	星级如何评定
我打车用了9元，优惠券有20元，怎么不能直接抵用	使用优惠券可以全额抵扣吗
接一个单子的管理费是怎样扣的	你们的车费是怎么扣的
为什么指派订单老是被别人强了	派单被抢原因
20.58分奖励不对	收到奖励金额不正确
一月21-27日新人奖怎么没发我奖励	未收到奖励
乘车已经下车，仍收费	计费错误
昨天5单奖励30元还没发	未收到奖励
乘客上车后叫乘客确认上车就滴滴自动计算车费是吗	滴滴打车如何计费
微信加不上	如何关注滴滴微信公众号
怀柔有好多刷单的，咋办	作弊举报
应该在五十公里左右，怎么只有四十公里	计费错误
为什么我的指派单，长期被别人抢单。	派单被抢原因
我推荐了手机号码13855111323的车主，他是我朋友我花了一个晚上教他使用滴滴出车并且注册，结果他注册完了我发现是要我点推荐才可以的。我觉得这样不合理，时间白费了，我也是新手。我希望你们能妥善处理这个问题	未收到推荐奖励
热力图中的红点是什么意思	订单密集区
有一个订单已经到了地方乘客取消订单有补偿么	如何申请补偿
这个乘客素质怎么这么差，订单还没5秒钟就取消也算我们头上？	乘客取消订单是否算取消率
客服在嘛？我要举报	作弊举报
你们平台每单收取多少提成	你们的车费是怎么扣的
我昨天早晚高峰完成咯8单，为啥只给了我完成2单的奖励	收到奖励金额不正确
快车付款后转发得到的5元红包在哪呢？	优惠券如何查询
我是东莞牌的车注册是深圳的，我在东莞接单有参加活动吗	异地车牌是否有奖励活动
抢到第二天的预约单，还能收到现在的实时单吗	指派订单模式能否抢单
请问拼车开关在什么地方	如何做快车拼车
如何知道别人给我的评价	为什么我看不到服务评分
周五晚间奖励未到帐	未收到奖励
有一个乘客住在我家附近，这两天连续接到他的单，你们会不会说我在刷单啊？	司机是否可以接同一乘客
提现都过24小时还没到	提现到账时间
我的两个奖励都满足条件了 怎么一个都没发放	未收到奖励
为什么东风系列车不能做滴滴	加入专车需要的条件
一次使用一张券是优惠最大的那张吗	优惠券如何使用
好车价更高？	滴滴打车如何计费
上周结余呢？108元怎么不见了？	查询扣费明细
昨天我完成17单奖励是多少，为什么只有74元呢？	收到奖励金额不正确
我在一个热点区域很久了，为什么没有给我派单	派单被抢原因
还有我有两笔坏账为什么才赔了我一笔？为什么？	未支付订单为什么只补偿前两笔的50%
辛苦跑了上百公里，才收了一百多，居然扣了我差不多五十元，滴滴你是怎么算账的啊？	你们的车费是怎么扣的
山东临沂滴滴专车司机有微信群吗？	如何关注滴滴微信公众号
怎么不给我实时单了	只能听到预约订单听不到实时订单
到账好慢	提现到账时间
自动接的开关。	系统自动接单
软件点开只有实时，预约，全部三个模式，没有指派模式	指派订单模式如何设置
2月14日16：23分的单子尾号7347支乎8.6元没有奖励。	未收到奖励
为什么一对一的单子会被别人抢走	派单被抢原因
我想更改车辆品牌	如何更改车辆信息
为什么我星级一直是4.7级？	如何提升星级
长治收费标准	滴滴打车如何计费
限完成普通订单是什么意思	什么是普通单
怎么会出现自动抢单	系统自动接单
为什么滴滴会扣除我的费用！	你们的车费是怎么扣的
您好，我想问一下我现在是注册广州的，我想转回佛山那边怎么转的？	城市如何更改
我在订单密集区，为何半个小时了还接不到单，我没有设定目的地，是指派模式。	系统未播报订单
乘客人数超员	超载怎么处理
司机端收费是百分之八十再减五毛，我刚才一单转账8.1元，怎么扣除后数目不对？	你们的车费是怎么扣的
15730410005的客户直到现在都没有给我付款，请帮忙催一下，谢谢	乘客未支付
我是济宁的车在济宁注册的滴滴，现在我到济南生活了可以改成济南吗	城市如何更改
3月1日快车实时翻倍未到账	未收到奖励
怎么我刚收到客人34元钱包里只有27？？	你们的车费是怎么扣的
多次打到我的车算刷单吗？	司机是否可以接同一乘客
我昨天有两单，送完客人，单子操作好了，乘客没支付，是网络问题 ，还是操作问题。	乘客未支付
以前我注册地的是广东省惠州市，现在我搬到深圳市过来了，能否帮我把注册地改为(深圳市)呢！	城市如何更改
想换手机号，可是那一个手机号也已经注册了，能否注销账号	如何更改电话号码
报价包括过路费吗？	去机场的订单，过路费怎么算
一个人可以注册两辆车么	同一个账号可以注册两辆车吗
最近西安查的严啊，不敢跑啊	滴滴是不是合法
我的实时派单怎么老是2公里意外的？	指派订单距离乘客较远
刚才有个客户在火车高铁站叫车目的地淮西客运站，上车后叫单人2分钟中途下车，另外两人改地址到万达广场，没什麽问题吧	乘客上车后中途下车怎么办
扣我的年夜奖励为什么还没返还给我	奖励扣除的原因
客人未付款，已超过I0天了。她不知道怎么付款	乘客未支付
我有推荐成功，他都有接客啊	未收到推荐奖励
怎么两天没给12单100的奖励了呢	未收到奖励
是的我都一个多小时没有接单了	系统未播报订单
信号不好被抢单	派单被抢原因
为什么会扣掉我132的钱？说是午夜单单奖发错扣回，可我重来没得到过。	查询扣费明细
滴滴这收费怎么那么低	滴滴打车如何计费
一点也不报单能帮忙看一下吗	系统未播报订单
晚上十一点后接单没有奖励，反被扣那么多钱啊	你们的车费是怎么扣的
奖金提现未到账已经超过30多小时	提现到账时间
一个星期了，我更改注册地还没办理，怎么回事	城市如何更改
还是没有翻培的钱	未收到奖励
换了手机号码，以前那个手机号码有个订单未支付。现在换了个手机号码打车提示有个订单未支付，打不了车	乘客未支付
麻烦问下我的车型	如何查询个人信息
你们一天只送一张快车券吗	如何领取优惠券
司机评价乘客给错差评能否修改	乘客评错星级，星级能否修改
乘客要固定车	司机是否可以接同一乘客
我上个星期六封的号今天怎么还没有解除	账号封禁时间已到未解除的原因
滴滴里程怎么及时7	计费错误
为什么120收了我145	司乘双方对费用有疑问怎么办
你们滴滴是怎么派单的，距离我3公里的单都派过来，	指派订单距离乘客较远
现在网上说交通部门在查滴滴快车！怎么保障我们的权利	滴滴是不是合法
14块怎么扣了4块	查询扣费明细
昨天晚上我从岳峰南路到古西路，为什么有个其他费用	什么是其他费用
我元月3号晚上做的一单，到现在客人尚未付款，帮我崔一下吧	乘客未支付
一接单，客人就取消，再派单再取消	乘客刷单提高取消率
订单于平峰接单并开始行程，于高峰时段结束行程，请问计入奖励订单吗？	奖励时间怎么计算
我的滴滴块车页面为什么总是拼车广告，叫不了快车	为什么不能叫车
要明天才能提现？	如何提现
行驶里程有误差怎么办	计费错误
请问一下。送完乘客，乘客不支付怎么办	乘客未支付
我的25到26号奖励没有发放，请查询补发，谢谢	未收到奖励
广州在抓滴滴，我粤A牌敢不敢出来做了	滴滴是不是合法
请问我昨天的高峰双单奖怎么中午都还没到账呢？	未收到奖励
等待指派租车公司验车	什么时候给我分配租赁公司
距离3公里也指派给我？	指派订单距离乘客较远
我要多少5星才能提上	如何提升星级
我不用指派的单子.可以不用封禁吗	指派模式拒单是否有影响
我们去哪里看自己的车型符合专车条件	加入专车需要的条件
我12月29日17时至19时的晚高峰奖励为什么没有了	未收到奖励
乘客下了定单，我到达指定地点，乘客关机，联系不上，申请补偿	乘客失联
我推荐的朋友注册了怎么还没审核过	快车审核时间
请问指派给我的订单，为什么还会被抢掉？	派单被抢原因
请问上海专车每单起步费8元去消，那么？车费怎么计算	滴滴打车起步价
成交额与到帐金额不符？	你们的车费是怎么扣的
常用地址如何添加，除了公司和家两项外	可以添加常用地址吗
昨天6个小时跑了几单135.3元 md实到手97元 滴滴太黑了 租个出租车每天才和50--60元 不跟滴滴玩了退出滴滴 车辆磨损 司机劳务 油耗 风险等等 太不划算了 大伙现在应该拒绝滴滴了 不给它卖命了	我要注销滴滴快车账号
